Industries,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
Quarter,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
        All industries,45200.3,46678.5,47266.6,47388.5,47885.4,47971.7,48657.5,49032.6,49705.6,50260.7,50898.5,51454.2
Private industries,40444.2,41780.7,42313.5,42389.6,42853.8,42930.7,43515.4,43857.6,44444.4,44939.6,45498.8,45981.4
+ACI-    Agriculture, forestry, fishing, and hunting+ACI-,598.6,643.3,656.2,660.7,645.9,623.1,616.2,601.6,594.3,589,592.5,612.6
        Farms,533.6,579.2,589.5,594.6,579.2,557.1,549.6,535.5,528.8,525.6,531.5,549.6
+ACI-        Forestry, fishing, and related activities+ACI-,65.1,64.2,66.7,66.1,66.8,65.9,66.6,66.1,65.5,63.4,61,63
    Mining,788.2,952.3,948.4,813.7,754.8,683.2,718.4,721.5,694.9,704.6,689,680.8
        Oil and gas extraction,581.3,732.1,716,582.3,506.1,441.8,486.1,481,455.9,465.6,450.5,443.3
+ACI-        Mining, except oil and gas+ACI-,128.3,136.5,139.6,136.2,143.2,134.7,133.3,136.4,138.4,136.5,139.8,139.3
        Support activities for mining,78.5,83.8,92.7,95.2,105.5,106.7,98.9,104.1,100.5,102.5,98.6,98.2
    Utilities,632.7,726.9,742.9,694.6,670.9,604,666.4,619.8,633,643.4,635,634.9
    Construction,2137.2,2199.9,2210.9,2230,2246.9,2294.5,2359.1,2443.1,2494.1,2509.6,2524,2553.1
    Manufacturing,6967.7,7246.2,7207.4,7225.6,7199.5,7173.4,7252.6,7218.3,7229.1,7283.1,7309.2,7309.7
        Durable goods,3331.5,3394.8,3449.4,3500.7,3506,3604.8,3612.6,3602.5,3598,3649.4,3682.7,3672.4
            Wood products,173.8,175.7,174.2,172.9,168.4,168.3,169.3,168.8,170.3,168.8,166.3,168.1
            Nonmetallic mineral products,155,158.5,158.4,160.3,160.4,162.1,162.5,162,160.2,160.6,162.6,161.5
            Primary metals,320.2,332.4,327.3,318.8,318.3,321,319.8,316.4,313.2,317.1,315,321.3
            Fabricated metal products,425.4,431.9,431.1,432.4,428.8,426.1,432.6,439,434.9,440.3,441.3,441.6
            Machinery,431.5,434.3,442.7,451.6,450.1,450.3,453.5,454,450.4,452.9,453.4,453.3
            Computer and electronic products,397.1,405.9,413.7,415.7,411.6,411.4,414,418.8,420.3,419.3,420.6,427.9
+ACI-            Electrical equipment, appliances, and components+ACI-,152.1,155.9,157.1,161.7,167.3,168.3,168,168.9,170.9,169.4,170.1,173.5
+ACI-            Motor vehicles, bodies and trailers, and parts+ACI-,689.4,694.3,716.9,725.6,751.8,786.5,799.4,770.6,801.9,811.2,779.1,784.3
            Other transportation equipment,319.4,336.3,356.4,385.7,375.1,436,420.2,428.1,398.3,430.8,493,459.1
            Furniture and related products,80.2,81.7,82.4,83.2,81.6,81.5,79.9,80.7,82,82.2,82,81.2
            Miscellaneous manufacturing,187.4,188,189.2,192.7,192.6,193.3,193.4,195.2,195.7,196.8,199.3,200.7
        Nondurable goods,3636.2,3851.4,3758,3724.9,3693.5,3568.6,3639.9,3615.8,3631.1,3633.7,3626.5,3637.3
            Food and beverage and tobacco products,1134.9,1158.1,1169.4,1167.6,1182.3,1173.1,1182.1,1181.7,1191.7,1201.2,1214,1216.2
            Textile mills and textile product mills,52.7,52.8,52.6,51.4,50.6,49.9,49.6,49.6,49.6,48.8,49.2,49.8
            Apparel and leather and allied products,18.4,19.5,19.7,21.9,22.4,23.3,24.1,25.5,26,26.5,26.5,25.8
            Paper products,205.9,206,204.3,204.3,206.9,204.5,201.4,200.6,201,201.5,204.3,204.9
            Printing and related support activities,83.9,86.6,87.8,88.8,88.1,86.8,86.6,85.8,87.2,88.2,90,89.6
            Petroleum and coal products,862.3,1028.7,923.5,884.9,803.3,712.8,776.8,737.9,730.6,702.4,664.1,664.6
            Chemical products,976.7,991.5,998.9,1003.8,1039.6,1023.3,1020.8,1033.9,1044.8,1061.5,1076.4,1087.5
            Plastics and rubber products,301.5,308.3,301.9,302.1,300.2,294.9,298.5,300.8,300.2,303.6,302,298.8
    Wholesale trade,2866.7,2915.5,2904.6,2849,2833.6,2806.9,2848.3,2873.7,2888.1,2895.9,2956.9,3007.3
    Retail trade,2651.8,2709.8,2711.3,2710.6,2755.9,2751.6,2783.1,2801.2,2800.1,2812.3,2852.7,2903.6
        Motor vehicle and parts dealers,514.2,526.6,528.6,529.7,544.1,540.9,539.9,538.5,536.8,532.2,543.8,571.3
        Food and beverage stores,325.5,332.7,337.8,343.9,343.7,341.9,344.9,346.4,346,347.8,351.2,354.5
        General merchandise stores,294.4,303.1,305,307.4,310.3,308.4,311.9,313.2,317.2,317,319.9,322.1
        Other retail,1517.7,1547.4,1539.9,1529.6,1557.9,1560.3,1586.5,1603.1,1600.1,1615.3,1637.9,1655.7
    Transportation and warehousing,1716.9,1829.7,1846.3,1793.6,1760.7,1738.5,1738.3,1765,1773.8,1802,1825.9,1850.4
        Air transportation,256.4,304.5,313.2,309.3,305.8,310.5,311.1,317.9,324.4,326.8,327.6,338.4
        Rail transportation,90.5,96.5,98.9,95.3,95.3,90,89.1,92.7,92.8,91.4,91.7,91.5
        Water transportation,51.2,65.3,77.2,70.6,68.2,71.4,75,71.2,70.4,74.8,82.1,78
        Truck transportation,567.5,601,583.6,559.4,546,526,519.6,527.5,518.6,531.2,526.2,535.7
        Transit and ground passenger transportation,106.4,113.2,123.7,133.8,137.5,141.8,148.8,154.5,158.5,169.7,176.1,178.5
        Pipeline transportation,65.8,69.1,72.6,70.9,71.4,70.7,70.1,72.6,74.2,72.4,74.3,74.6
        Other transportation and support activities,407.3,402,392.5,374.8,358.8,346.4,346,345.5,345.2,349,356.8,355
        Warehousing and storage,171.8,178.1,184.6,179.6,177.6,181.8,178.6,183.2,189.8,186.8,191.1,198.8
    Information,2413.3,2455.5,2462.1,2464.7,2485.3,2493.9,2533.9,2556.3,2607.7,2642.2,2710.1,2735.3
+ACI-        Publishing industries, except internet (includes software)+ACI-,538,553.5,557.4,564.3,576.1,581.4,602.4,607.4,628.9,645.3,667.5,668
        Motion picture and sound recording industries,185.7,201.6,197.5,197.2,204,202.5,203.6,198.1,199.7,200.6,210.2,214.5
        Broadcasting and telecommunications,966.8,960.8,956.2,949.5,943.4,936.6,935.4,933.3,932.1,926.6,934.9,942.3
+ACI-        Data processing, internet publishing, and other information services+ACI-,722.8,739.6,751.1,753.7,761.8,773.4,792.5,817.5,847,869.7,897.6,910.5
+ACI-    Finance, insurance, real estate, rental, and leasing+ACI-,8401,8507.3,8726.2,8870.2,9127.4,9305.9,9451.7,9462.6,9701.8,9819.5,9935.2,10035.7
        Finance and insurance,3393.6,3436.7,3547,3601.8,3708.6,3793.4,3842.8,3792.6,3925.9,3977.2,4053.6,4075.3
+ACI-            Federal Reserve banks, credit intermediation, and related activities+ACI-,1196.2,1220.5,1283.6,1319.4,1368.7,1384.6,1366.7,1367,1392.2,1382.9,1398.3,1427.3
+ACI-            Securities, commodity contracts, and investments+ACI-,702.1,701.4,729.7,755.8,786.5,821.8,868.1,837.1,885.8,896.4,918.4,923.6
            Insurance carriers and related activities,1298.8,1324,1345.1,1339.7,1357.7,1384.1,1397.6,1373.5,1428.6,1474.4,1509,1492.1
+ACI-            Funds, trusts, and other financial vehicles+ACI-,196.5,190.8,188.6,186.9,195.7,202.9,210.4,215,219.2,223.5,227.9,232.3
        Real estate and rental and leasing,5007.3,5070.5,5179.2,5268.4,5418.8,5512.6,5608.8,5669.9,5776,5842.4,5881.6,5960.4
            Real estate,4429.3,4483.7,4581.8,4667.7,4777.4,4861.6,4941.3,5009.8,5103.5,5157.1,5192,5261
                Housing,2600.6,2661.3,2727.8,2792,2852.3,2904.3,2952.7,3000,3050.4,3096.3,3140.8,3183.6
                Other real estate,1828.7,1822.4,1854,1875.6,1925.1,1957.4,1988.6,2009.8,2053.1,2060.8,2051.2,2077.5
            Rental and leasing services and lessors of intangible assets,578,586.8,597.4,600.8,641.4,650.9,667.5,660.1,672.5,685.3,689.6,699.3
    Professional and business services,5179,5308.1,5411.3,5450.4,5538,5557.7,5564.9,5646.2,5728,5821.7,5919.9,5993.3
+ACI-        Professional, scientific, and technical services+ACI-,3011.9,3072.8,3157.3,3206.5,3264.4,3280.2,3289.6,3364.1,3416.2,3481.7,3535.3,3590.3
            Legal services,437.6,437.9,442.5,433.5,441.6,447.1,442.7,459.5,459.7,486.1,489.2,495.6
            Computer systems design and related services,649.3,670.3,690.1,695.6,712.5,709.5,689.9,712.8,718,730.5,743.4,751.7
+ACI-            Miscellaneous professional, scientific, and technical services+ACI-,1925.1,1964.6,2024.8,2077.4,2110.2,2123.6,2157,2191.8,2238.5,2265.1,2302.7,2343
        Management of companies and enterprises,727.2,753,771.4,772.9,770.6,777.3,790.9,798.2,815.3,832.7,860.1,867
        Administrative and waste management services,1439.8,1482.3,1482.7,1470.9,1503,1500.3,1484.4,1484,1496.5,1507.2,1524.5,1536
            Administrative and support services,1292.2,1325.8,1324.7,1311.2,1337.3,1335.2,1317.8,1314,1324,1332,1343.5,1348.3
            Waste management and remediation services,147.6,156.5,157.9,159.7,165.7,165.1,166.6,170,172.5,175.3,181,187.7
+ACI-    Educational services, health care, and social assistance+ACI-,3368.9,3410,3504.5,3551.7,3663.7,3725.7,3782.3,3871.6,3973.1,4044,4129.2,4191.8
        Educational services,418.1,430.1,446.8,452.8,463.2,469.9,477.5,482.8,491.1,496.8,503.3,508.2
        Health care and social assistance,2950.7,2979.9,3057.7,3098.9,3200.5,3255.8,3304.8,3388.8,3482,3547.2,3625.9,3683.6
            Ambulatory health care services,1319,1328.7,1360.7,1378.1,1438.8,1456.6,1482.3,1520.9,1565.6,1600.9,1635.9,1667.1
            Hospitals,1062.7,1070.7,1094.1,1111.7,1130.6,1154.3,1165.9,1192.6,1226.5,1249.3,1284.6,1294.8
            Nursing and residential care facilities,275.8,281.3,291.3,295.8,307.3,314.5,316.7,329.9,340.2,342.3,350.7,359.3
            Social assistance,293.3,299.2,311.6,313.3,323.8,330.4,339.9,345.4,349.6,354.7,354.7,362.3
+ACI-    Arts, entertainment, recreation, accommodation, and food services+ACI-,1842,1985.1,2029.4,2088.8,2164,2160.4,2191.9,2238.1,2264.8,2288.8,2307.8,2358.4
+ACI-        Arts, entertainment, and recreation+ACI-,444.1,472.8,486.5,504.7,518.6,518.9,513.4,519.9,540.7,561.4,568.5,586.7
+ACI-            Performing arts, spectator sports, museums, and related activities+ACI-,246.3,261.7,268.4,277.7,291.5,284.7,271.9,275.4,295.2,313.4,320.9,327.7
+ACI-            Amusements, gambling, and recreation industries+ACI-,197.8,211.1,218,227,227.1,234.2,241.5,244.5,245.6,248,247.5,259
        Accommodation and food services,1397.9,1512.3,1542.9,1584,1645.4,1641.5,1678.5,1718.1,1724.1,1727.3,1739.3,1771.7
            Accommodation,302.6,332.6,343.9,361.7,376.9,364.5,373.4,383.3,396.4,391.8,385.9,393.9
            Food services and drinking places,1095.3,1179.7,1199,1222.3,1268.5,1276.9,1305.1,1334.8,1327.6,1335.5,1353.4,1377.8
+ACI-    Other services, except government+ACI-,880.4,891.1,951.9,985.9,1007.3,1011.9,1008.3,1038.6,1061.6,1083.5,1111.3,1114.6
Government,4756.1,4897.8,4953.1,4998.9,5031.6,5041,5142.2,5175,5261.2,5321.1,5399.7,5472.9
    Federal,1417.4,1451,1475.6,1490.2,1504.9,1513.4,1547.5,1552.6,1576,1594.8,1634.9,1659.6
        General government,1305.7,1333.6,1358.3,1376.3,1393.3,1407.3,1434.2,1444.9,1466.6,1486.1,1524.7,1548.9
            National defense,745.2,764.1,777.3,786.4,806.2,815.5,838,844.1,853.3,866.6,894.5,910.2
            Nondefense,560.4,569.5,581,590,587.1,591.8,596.3,600.7,613.3,619.5,630.2,638.7
        Government enterprises,111.7,117.5,117.2,113.8,111.6,106.1,113.3,107.7,109.4,108.7,110.2,110.6
    State and local,3338.7,3446.7,3477.5,3508.8,3526.7,3527.7,3594.7,3622.4,3685.1,3726.3,3764.8,3813.3
        General government,2917.6,3009.8,3031.9,3059.7,3075.4,3075.4,3129.9,3151.4,3205.7,3236.7,3272.6,3308.5
        Government enterprises,421.1,437,445.7,449.1,451.3,452.2,464.8,471,479.5,489.6,492.2,504.8
