scenario,confidence,sector,direct_shock,total_impact,multiplier_effect,price_effect,gdp_contribution
75-year,mean,AGR,-2.45,-7.37,-4.92,-5.17,-0.97
75-year,mean,MINING,-0.3,-4.25,-3.95,-5.48,-2.02
75-year,mean,UTIL_CONST,-22.71,-40.0,-17.29,-4.75,0.18
75-year,mean,MANUF,-36.83,-103.29,-66.46,-4.96,-7.7
75-year,mean,TRADE_TRANSP,-49.44,-23.42,26.02,-4.6,0.0
75-year,mean,INFO,-22.11,-39.83,-17.72,-4.45,-0.21
75-year,mean,FIRE,-86.81,-140.75,-53.94,-4.49,1.82
75-year,mean,PROF_OTHER,-76.89,-117.84,-40.95,-4.38,0.78
75-year,mean,EDUC_ENT,-58.96,-89.99,-31.03,-4.5,5.31
75-year,mean,G,-56.52,-102.56,-46.04,-3.92,2.81
75-year,p5,AGR,-1.72,-5.58,-3.86,-5.18,-0.87
75-year,p5,MINING,-0.18,-3.42,-3.24,-5.39,-1.68
75-year,p5,UTIL_CONST,-17.9,-32.27,-14.37,-4.81,-0.28
75-year,p5,MANUF,-30.33,-84.19,-53.86,-4.96,-5.95
75-year,p5,TRADE_TRANSP,-40.61,-18.6,22.01,-4.69,0.0
75-year,p5,INFO,-17.09,-31.26,-14.17,-4.59,-0.43
75-year,p5,FIRE,-69.29,-110.87,-41.58,-4.6,2.35
75-year,p5,PROF_OTHER,-60.7,-93.84,-33.14,-4.52,0.09
75-year,p5,EDUC_ENT,-47.67,-71.03,-23.36,-4.6,5.32
75-year,p5,G,-46.92,-86.75,-39.83,-4.1,1.46
75-year,p95,AGR,-3.17,-9.16,-5.99,-5.16,-1.08
75-year,p95,MINING,-0.42,-5.09,-4.67,-5.56,-2.36
75-year,p95,UTIL_CONST,-27.52,-47.84,-20.32,-4.69,0.58
75-year,p95,MANUF,-43.43,-122.67,-79.24,-4.96,-9.48
75-year,p95,TRADE_TRANSP,-58.74,-28.38,30.36,-4.51,0.0
75-year,p95,INFO,-27.36,-48.74,-21.38,-4.29,0.05
75-year,p95,FIRE,-105.08,-171.8,-66.72,-4.37,1.33
75-year,p95,PROF_OTHER,-93.65,-142.65,-49.0,-4.22,1.54
75-year,p95,EDUC_ENT,-70.73,-109.67,-38.94,-4.39,5.35
75-year,p95,G,-66.11,-118.56,-52.45,-3.74,4.07
gannon-year,mean,AGR,-4.36,-11.87,-7.51,-5.08,-1.15
gannon-year,mean,MINING,-0.41,-5.21,-4.8,-5.73,-2.43
gannon-year,mean,UTIL_CONST,-28.76,-51.11,-22.35,-4.8,-0.03
gannon-year,mean,MANUF,-58.47,-149.92,-91.45,-4.88,-6.15
gannon-year,mean,TRADE_TRANSP,-66.05,-30.34,35.71,-4.58,0.0
gannon-year,mean,INFO,-29.98,-51.62,-21.64,-4.37,1.08
gannon-year,mean,FIRE,-115.96,-185.1,-69.14,-4.45,4.24
gannon-year,mean,PROF_OTHER,-95.63,-146.3,-50.67,-4.41,1.15
gannon-year,mean,EDUC_ENT,-72.06,-114.52,-42.46,-4.58,3.75
gannon-year,mean,G,-61.42,-117.95,-56.53,-4.05,-0.46
gannon-year,p5,AGR,-3.42,-9.58,-6.16,-5.1,-1.03
gannon-year,p5,MINING,-0.23,-4.26,-4.03,-5.62,-2.09
gannon-year,p5,UTIL_CONST,-24.23,-42.85,-18.62,-4.81,0.09
gannon-year,p5,MANUF,-48.99,-125.24,-76.25,-4.89,-4.97
gannon-year,p5,TRADE_TRANSP,-55.69,-24.77,30.92,-4.66,0.0
gannon-year,p5,INFO,-23.41,-41.21,-17.8,-4.55,0.32
gannon-year,p5,FIRE,-93.7,-149.12,-55.42,-4.57,3.69
gannon-year,p5,PROF_OTHER,-78.54,-120.09,-41.55,-4.53,0.98
gannon-year,p5,EDUC_ENT,-60.13,-93.67,-33.54,-4.64,4.27
gannon-year,p5,G,-51.68,-100.89,-49.21,-4.19,-1.27
gannon-year,p95,AGR,-5.32,-14.21,-8.89,-5.06,-1.28
gannon-year,p95,MINING,-0.61,-6.19,-5.58,-5.84,-2.77
gannon-year,p95,UTIL_CONST,-33.23,-59.34,-26.11,-4.79,-0.2
gannon-year,p95,MANUF,-68.29,-175.11,-106.82,-4.86,-7.21
gannon-year,p95,TRADE_TRANSP,-76.36,-35.87,40.49,-4.5,0.0
gannon-year,p95,INFO,-36.4,-61.83,-25.43,-4.2,1.8
gannon-year,p95,FIRE,-138.12,-220.83,-82.71,-4.32,4.86
gannon-year,p95,PROF_OTHER,-112.65,-172.26,-59.61,-4.31,1.41
gannon-year,p95,EDUC_ENT,-83.72,-135.08,-51.36,-4.52,3.13
gannon-year,p95,G,-70.97,-134.84,-63.87,-3.91,0.26
100-year,mean,AGR,-3.28,-9.84,-6.56,-5.22,-1.29
100-year,mean,MINING,-0.38,-5.46,-5.08,-5.63,-2.6
100-year,mean,UTIL_CONST,-29.88,-52.12,-22.24,-4.67,0.53
100-year,mean,MANUF,-48.59,-136.01,-87.42,-4.94,-10.09
100-year,mean,TRADE_TRANSP,-65.38,-31.19,34.19,-4.46,0.0
100-year,mean,INFO,-29.78,-53.23,-23.45,-4.24,-0.05
100-year,mean,FIRE,-115.42,-189.14,-73.72,-4.31,1.2
100-year,mean,PROF_OTHER,-102.28,-156.09,-53.81,-4.16,1.49
100-year,mean,EDUC_ENT,-78.11,-121.44,-43.33,-4.33,5.72
100-year,mean,G,-72.19,-128.29,-56.1,-3.63,5.09
100-year,p5,AGR,-2.47,-7.86,-5.39,-5.08,-1.18
100-year,p5,MINING,-0.24,-4.51,-4.27,-5.38,-2.22
100-year,p5,UTIL_CONST,-24.65,-43.52,-18.87,-4.58,0.13
100-year,p5,MANUF,-41.4,-114.82,-73.42,-4.79,-8.11
100-year,p5,TRADE_TRANSP,-55.49,-25.82,29.67,-4.4,0.0
100-year,p5,INFO,-24.08,-43.57,-19.49,-4.25,-0.34
100-year,p5,FIRE,-95.67,-155.78,-60.11,-4.28,1.6
100-year,p5,PROF_OTHER,-84.26,-129.26,-45.0,-4.16,0.78
100-year,p5,EDUC_ENT,-65.38,-100.36,-34.98,-4.28,5.55
100-year,p5,G,-61.37,-110.02,-48.65,-3.68,3.79
100-year,p95,AGR,-4.08,-12.17,-8.09,1.21,-1.57
100-year,p95,MINING,-0.53,-6.18,-5.65,0.67,-2.84
100-year,p95,UTIL_CONST,-35.1,-58.48,-23.38,1.87,2.2
100-year,p95,MANUF,-55.95,-158.34,-102.39,1.51,-12.4
100-year,p95,TRADE_TRANSP,-75.46,-37.56,37.9,2.13,0.0
100-year,p95,INFO,-35.74,-63.68,-27.94,2.46,0.05
100-year,p95,FIRE,-135.05,-231.74,-96.69,2.31,-5.06
100-year,p95,PROF_OTHER,-120.85,-183.69,-62.84,2.54,2.26
100-year,p95,EDUC_ENT,-90.83,-151.41,-60.58,2.29,0.42
100-year,p95,G,-82.68,-126.71,-44.03,3.13,16.94
50-year,mean,AGR,-1.51,-4.61,-3.1,-4.65,-0.62
50-year,mean,MINING,-0.2,-2.85,-2.65,-4.83,-1.35
50-year,mean,UTIL_CONST,-14.53,-26.13,-11.6,-4.37,-0.19
50-year,mean,MANUF,-23.62,-66.48,-42.86,-4.5,-5.02
50-year,mean,TRADE_TRANSP,-31.5,-14.79,16.71,-4.27,0.0
50-year,mean,INFO,-13.72,-25.04,-11.32,-4.2,-0.31
50-year,mean,FIRE,-55.05,-87.56,-32.51,-4.21,2.19
50-year,mean,PROF_OTHER,-48.55,-75.07,-26.52,-4.14,0.06
50-year,mean,EDUC_ENT,-37.46,-55.42,-17.96,-4.21,4.41
50-year,mean,G,-38.5,-71.81,-33.31,-3.78,0.85
50-year,p5,AGR,-0.95,-3.19,-2.24,-5.1,-0.53
50-year,p5,MINING,-0.12,-2.22,-2.1,-5.21,-1.09
50-year,p5,UTIL_CONST,-10.77,-20.23,-9.46,-4.86,-0.63
50-year,p5,MANUF,-18.61,-51.49,-32.88,-4.95,-3.57
50-year,p5,TRADE_TRANSP,-24.67,-10.94,13.73,-4.79,0.0
50-year,p5,INFO,-9.79,-18.26,-8.47,-4.76,-0.45
50-year,p5,FIRE,-41.53,-63.68,-22.15,-4.74,3.09
50-year,p5,PROF_OTHER,-35.93,-56.21,-20.28,-4.7,-0.38
50-year,p5,EDUC_ENT,-28.65,-40.0,-11.35,-4.74,4.8
50-year,p5,G,-30.4,-60.3,-29.9,-4.39,-1.24
50-year,p95,AGR,-2.06,-5.96,-3.9,-5.11,-0.7
50-year,p95,MINING,-0.28,-3.52,-3.24,-5.37,-1.64
50-year,p95,UTIL_CONST,-18.43,-32.61,-14.18,-4.79,0.06
50-year,p95,MANUF,-28.71,-81.64,-52.93,-4.97,-6.48
50-year,p95,TRADE_TRANSP,-38.85,-18.7,20.15,-4.67,0.0
50-year,p95,INFO,-17.83,-32.07,-14.24,-4.54,-0.14
50-year,p95,FIRE,-69.82,-111.89,-42.07,-4.58,2.26
50-year,p95,PROF_OTHER,-61.92,-94.95,-33.03,-4.49,0.59
50-year,p95,EDUC_ENT,-46.8,-70.42,-23.62,-4.6,4.81
50-year,p95,G,-46.52,-86.4,-39.88,-4.1,1.23
175-year,mean,AGR,-5.25,-15.73,-10.48,-5.36,-2.07
175-year,mean,MINING,-0.61,-8.42,-7.81,-6.01,-3.99
175-year,mean,UTIL_CONST,-46.83,-81.21,-34.38,-4.5,1.12
175-year,mean,MANUF,-76.91,-214.83,-137.92,-4.92,-15.92
175-year,mean,TRADE_TRANSP,-103.73,-50.09,53.64,-4.13,0.0
175-year,mean,INFO,-48.96,-86.31,-37.35,-3.69,0.62
175-year,mean,FIRE,-185.53,-307.46,-121.93,-3.86,-0.2
175-year,mean,PROF_OTHER,-164.35,-249.36,-85.01,-3.61,3.41
175-year,mean,EDUC_ENT,-124.62,-197.97,-73.35,-3.91,6.64
175-year,mean,G,-109.55,-190.18,-80.63,-2.92,10.39
175-year,p5,AGR,-4.31,-13.42,-9.11,-5.37,-1.93
175-year,p5,MINING,-0.38,-7.21,-6.83,-5.91,-3.55
175-year,p5,UTIL_CONST,-41.21,-71.54,-30.33,-4.56,0.93
175-year,p5,MANUF,-68.44,-189.89,-121.45,-4.92,-13.56
175-year,p5,TRADE_TRANSP,-92.21,-43.77,48.44,-4.25,0.0
175-year,p5,INFO,-42.02,-74.74,-32.72,-3.9,0.14
175-year,p5,FIRE,-162.04,-267.85,-105.81,-4.02,0.26
175-year,p5,PROF_OTHER,-143.85,-218.26,-74.41,-3.8,2.97
175-year,p5,EDUC_ENT,-109.69,-173.03,-63.34,-4.05,6.57
175-year,p5,G,-96.34,-168.85,-72.51,-3.19,8.18
175-year,p95,AGR,-6.21,-18.07,-11.86,-5.34,-2.2
175-year,p95,MINING,-0.84,-9.6,-8.76,-6.11,-4.4
175-year,p95,UTIL_CONST,-52.24,-90.68,-38.44,-4.45,1.2
175-year,p95,MANUF,-85.51,-239.79,-154.28,-4.92,-18.16
175-year,p95,TRADE_TRANSP,-115.24,-56.37,58.87,-4.02,0.0
175-year,p95,INFO,-56.43,-98.32,-41.89,-3.44,1.39
175-year,p95,FIRE,-208.21,-346.21,-138.0,-3.72,-0.95
175-year,p95,PROF_OTHER,-185.28,-280.56,-95.28,-3.42,4.24
175-year,p95,EDUC_ENT,-139.3,-222.65,-83.35,-3.78,6.6
175-year,p95,G,-122.17,-210.98,-88.81,-2.67,12.28
125-year,mean,AGR,-4.02,-12.03,-8.01,-5.27,-1.57
125-year,mean,MINING,-0.47,-6.56,-6.09,-5.77,-3.11
125-year,mean,UTIL_CONST,-36.15,-62.82,-26.67,-4.61,0.78
125-year,mean,MANUF,-59.01,-165.01,-106.0,-4.93,-12.22
125-year,mean,TRADE_TRANSP,-79.46,-38.11,41.35,-4.34,0.0
125-year,mean,INFO,-36.7,-65.25,-28.55,-4.04,0.14
125-year,mean,FIRE,-141.02,-232.39,-91.37,-4.15,0.66
125-year,mean,PROF_OTHER,-124.98,-190.23,-65.25,-3.96,2.16
125-year,mean,EDUC_ENT,-95.2,-149.51,-54.31,-4.18,6.08
125-year,mean,G,-86.0,-151.08,-65.08,-3.37,7.07
125-year,p5,AGR,-3.17,-9.94,-6.77,-5.28,-1.44
125-year,p5,MINING,-0.29,-5.5,-5.21,-5.68,-2.71
125-year,p5,UTIL_CONST,-30.79,-53.89,-23.1,-4.67,0.44
125-year,p5,MANUF,-51.38,-142.45,-91.07,-4.94,-10.08
125-year,p5,TRADE_TRANSP,-69.12,-32.38,36.74,-4.45,0.0
125-year,p5,INFO,-30.49,-54.82,-24.33,-4.23,-0.24
125-year,p5,FIRE,-120.23,-196.91,-76.68,-4.28,1.32
125-year,p5,PROF_OTHER,-105.97,-161.77,-55.8,-4.14,1.51
125-year,p5,EDUC_ENT,-81.56,-126.79,-45.23,-4.3,5.98
125-year,p5,G,-74.2,-131.9,-57.7,-3.6,5.22
125-year,p95,AGR,-4.89,-14.65,-9.76,3.93,-1.92
125-year,p95,MINING,-0.65,-7.27,-6.62,3.26,-3.32
125-year,p95,UTIL_CONST,-41.46,-68.71,-27.25,4.72,2.83
125-year,p95,MANUF,-66.88,-189.11,-122.23,4.29,-14.8
125-year,p95,TRADE_TRANSP,-89.98,-45.19,44.79,5.06,0.0
125-year,p95,INFO,-43.32,-76.78,-33.46,5.5,0.31
125-year,p95,FIRE,-161.97,-280.66,-118.69,5.29,-7.8
125-year,p95,PROF_OTHER,-144.39,-219.48,-75.09,5.56,2.71
125-year,p95,EDUC_ENT,-108.94,-184.36,-75.42,5.27,-1.19
125-year,p95,G,-97.12,-143.16,-46.04,6.25,23.19
200-year,mean,AGR,-5.81,-17.43,-11.62,-5.39,-2.3
200-year,mean,MINING,-0.67,-9.27,-8.6,-6.12,-4.39
200-year,mean,UTIL_CONST,-51.68,-89.6,-37.92,-4.45,1.25
200-year,mean,MANUF,-85.14,-237.7,-152.56,-4.91,-17.62
200-year,mean,TRADE_TRANSP,-114.88,-55.58,59.3,-4.03,0.0
200-year,mean,INFO,-54.6,-95.98,-41.38,-3.51,0.85
200-year,mean,FIRE,-205.88,-341.81,-135.93,-3.73,-0.61
200-year,mean,PROF_OTHER,-182.43,-276.46,-94.03,-3.45,4.02
200-year,mean,EDUC_ENT,-138.1,-220.18,-82.08,-3.79,6.89
200-year,mean,G,-120.3,-208.06,-87.76,-2.71,11.91
200-year,p5,AGR,-4.82,-15.45,-10.63,2.54,-2.37
200-year,p5,MINING,-0.43,-7.76,-7.33,1.88,-3.8
200-year,p5,UTIL_CONST,-46.06,-77.05,-30.99,3.53,2.74
200-year,p5,MANUF,-76.41,-213.11,-136.7,3.09,-15.67
200-year,p5,TRADE_TRANSP,-103.24,-50.14,53.1,3.91,0.0
200-year,p5,INFO,-47.23,-84.41,-37.18,4.34,-0.08
200-year,p5,FIRE,-181.18,-311.16,-129.98,4.18,-7.02
200-year,p5,PROF_OTHER,-160.84,-244.29,-83.45,4.46,3.16
200-year,p5,EDUC_ENT,-122.38,-204.41,-82.03,4.16,0.33
200-year,p5,G,-106.96,-163.0,-56.04,5.19,22.71
200-year,p95,AGR,-6.82,-19.87,-13.05,-5.31,-2.43
200-year,p95,MINING,-0.92,-10.51,-9.59,-6.15,-4.82
200-year,p95,UTIL_CONST,-57.18,-99.35,-42.17,-4.33,1.25
200-year,p95,MANUF,-94.05,-263.58,-169.53,-4.84,-19.96
200-year,p95,TRADE_TRANSP,-126.71,-62.16,64.55,-3.84,0.0
200-year,p95,INFO,-62.49,-108.61,-46.12,-3.18,1.71
200-year,p95,FIRE,-230.0,-382.85,-152.85,-3.5,-1.31
200-year,p95,PROF_OTHER,-204.22,-309.05,-104.83,-3.18,4.82
200-year,p95,EDUC_ENT,-153.53,-246.18,-92.65,-3.58,6.81
200-year,p95,G,-133.28,-229.37,-96.09,-2.38,13.93
150-year,mean,AGR,-4.66,-13.95,-9.29,-5.31,-1.82
150-year,mean,MINING,-0.53,-7.5,-6.97,-5.89,-3.56
150-year,mean,UTIL_CONST,-41.68,-72.28,-30.6,-4.55,0.98
150-year,mean,MANUF,-68.22,-190.63,-122.41,-4.93,-14.11
150-year,mean,TRADE_TRANSP,-91.93,-44.25,47.68,-4.23,0.0
150-year,mean,INFO,-42.96,-76.02,-33.06,-3.86,0.37
150-year,mean,FIRE,-163.73,-270.74,-107.01,-4.0,0.2
150-year,mean,PROF_OTHER,-145.1,-220.48,-75.38,-3.79,2.77
150-year,mean,EDUC_ENT,-110.28,-174.33,-64.05,-4.04,6.38
150-year,mean,G,-98.12,-171.16,-73.04,-3.14,8.79
150-year,p5,AGR,-3.76,-11.73,-7.97,-5.32,-1.69
150-year,p5,MINING,-0.33,-6.37,-6.04,-5.8,-3.14
150-year,p5,UTIL_CONST,-36.16,-62.95,-26.79,-4.61,0.71
150-year,p5,MANUF,-60.17,-166.86,-106.69,-4.93,-11.85
150-year,p5,TRADE_TRANSP,-80.93,-38.21,42.72,-4.35,0.0
150-year,p5,INFO,-36.34,-64.97,-28.63,-4.07,-0.07
150-year,p5,FIRE,-141.48,-233.06,-91.58,-4.15,0.72
150-year,p5,PROF_OTHER,-125.43,-190.71,-65.28,-3.96,2.31
150-year,p5,EDUC_ENT,-95.96,-150.46,-54.5,-4.17,6.28
150-year,p5,G,-85.56,-150.85,-65.29,-3.39,6.74
150-year,p95,AGR,-5.56,-16.16,-10.6,-5.3,-1.95
150-year,p95,MINING,-0.74,-8.61,-7.87,-5.99,-3.96
150-year,p95,UTIL_CONST,-47.03,-81.5,-34.47,-4.5,1.15
150-year,p95,MANUF,-76.47,-214.57,-138.1,-4.92,-16.25
150-year,p95,TRADE_TRANSP,-102.96,-50.3,52.66,-4.12,0.0
150-year,p95,INFO,-50.06,-87.51,-37.45,-3.63,1.06
150-year,p95,FIRE,-185.55,-308.11,-122.56,-3.87,-0.58
150-year,p95,PROF_OTHER,-165.57,-250.73,-85.16,-3.6,3.76
150-year,p95,EDUC_ENT,-124.45,-198.17,-73.72,-3.92,6.33
150-year,p95,G,-109.98,-190.92,-80.94,-2.91,10.44
250-year,mean,AGR,-6.79,-20.36,-13.57,-5.47,-2.69
250-year,mean,MINING,-0.79,-10.76,-9.97,-6.31,-5.09
250-year,mean,UTIL_CONST,-59.91,-103.96,-44.05,-4.37,1.4
250-year,mean,MANUF,-99.21,-276.89,-177.68,-4.9,-20.58
250-year,mean,TRADE_TRANSP,-133.95,-65.02,68.93,-3.86,0.0
250-year,mean,INFO,-64.39,-112.68,-48.29,-3.22,1.31
250-year,mean,FIRE,-241.09,-401.06,-159.97,-3.5,-1.23
250-year,mean,PROF_OTHER,-213.43,-323.02,-109.59,-3.17,5.03
250-year,mean,EDUC_ENT,-161.17,-258.27,-97.1,-3.58,7.27
250-year,mean,G,-138.83,-238.88,-100.05,-2.35,14.58
250-year,p5,AGR,-5.71,-17.77,-12.06,-5.48,-2.56
250-year,p5,MINING,-0.52,-9.44,-8.92,-6.2,-4.63
250-year,p5,UTIL_CONST,-54.08,-93.56,-39.48,-4.42,1.42
250-year,p5,MANUF,-90.02,-249.82,-159.8,-4.89,-17.99
250-year,p5,TRADE_TRANSP,-121.55,-58.01,63.54,-3.99,0.0
250-year,p5,INFO,-56.53,-99.68,-43.15,-3.48,0.7
250-year,p5,FIRE,-214.92,-356.86,-141.94,-3.68,-0.67
250-year,p5,PROF_OTHER,-189.76,-287.92,-98.16,-3.4,3.96
250-year,p5,EDUC_ENT,-144.52,-230.38,-85.86,-3.73,7.24
250-year,p5,G,-124.99,-215.95,-90.96,-2.63,12.53
250-year,p95,AGR,-7.89,-22.98,-15.09,-5.44,-2.82
250-year,p95,MINING,-1.06,-12.07,-11.01,-6.42,-5.54
250-year,p95,UTIL_CONST,-65.48,-114.14,-48.66,-4.33,1.23
250-year,p95,MANUF,-108.51,-304.07,-195.56,-4.9,-23.13
250-year,p95,TRADE_TRANSP,-146.31,-71.99,74.32,-3.73,0.0
250-year,p95,INFO,-72.9,-126.22,-53.32,-2.93,2.3
250-year,p95,FIRE,-266.87,-444.72,-177.85,-3.32,-1.85
250-year,p95,PROF_OTHER,-236.44,-357.59,-121.15,-2.95,5.78
250-year,p95,EDUC_ENT,-177.78,-286.0,-108.22,-3.42,7.37
250-year,p95,G,-152.64,-261.75,-109.11,-2.06,16.66
225-year,mean,AGR,-6.32,-19.35,-13.03,1.61,-2.69
225-year,mean,MINING,-0.73,-9.8,-9.07,0.77,-4.62
225-year,mean,UTIL_CONST,-56.0,-94.73,-38.73,2.72,2.73
225-year,mean,MANUF,-92.52,-259.23,-166.71,2.19,-19.6
225-year,mean,TRADE_TRANSP,-124.83,-61.53,63.3,3.22,0.0
225-year,mean,INFO,-59.69,-105.23,-45.54,3.84,0.75
225-year,mean,FIRE,-224.16,-382.36,-158.2,3.57,-7.11
225-year,mean,PROF_OTHER,-198.58,-301.1,-102.52,3.91,4.29
225-year,mean,EDUC_ENT,-150.13,-249.33,-99.2,3.51,1.29
225-year,mean,G,-130.03,-203.51,-73.48,4.75,24.95
225-year,p5,AGR,-5.3,-16.71,-11.41,-1.49,-2.48
225-year,p5,MINING,-0.48,-8.63,-8.15,-2.18,-4.23
225-year,p5,UTIL_CONST,-50.27,-85.57,-35.3,-0.46,2.13
225-year,p5,MANUF,-83.65,-232.55,-148.9,-0.92,-16.86
225-year,p5,TRADE_TRANSP,-112.74,-54.27,58.47,-0.05,0.0
225-year,p5,INFO,-52.15,-92.43,-40.28,0.43,0.37
225-year,p5,FIRE,-198.61,-335.17,-136.56,0.24,-4.0
225-year,p5,PROF_OTHER,-175.69,-266.83,-91.14,0.52,3.48
225-year,p5,EDUC_ENT,-133.87,-218.26,-84.39,0.2,3.67
225-year,p5,G,-116.33,-189.68,-73.35,1.28,17.91
225-year,p95,AGR,-7.38,-21.49,-14.11,-5.41,-2.63
225-year,p95,MINING,-0.99,-11.32,-10.33,-6.32,-5.19
225-year,p95,UTIL_CONST,-61.49,-107.04,-45.55,-4.37,1.24
225-year,p95,MANUF,-101.53,-284.61,-183.08,-4.9,-21.63
225-year,p95,TRADE_TRANSP,-136.89,-67.26,69.63,-3.81,0.0
225-year,p95,INFO,-67.92,-117.78,-49.86,-3.08,2.02
225-year,p95,FIRE,-248.95,-414.73,-165.78,-3.44,-1.64
225-year,p95,PROF_OTHER,-220.88,-334.23,-113.35,-3.1,5.26
225-year,p95,EDUC_ENT,-166.21,-266.87,-100.66,-3.53,7.19
225-year,p95,G,-143.53,-246.48,-102.95,-2.25,15.39
